ID,Program,Degree,Concentration,Requirements
98,ENCW,"English, B.A.",Creative Writing,"By the end of semester 8, a student will need to have completed at least one of the major Creative Writing tracks:,Fiction (,ENGL 2005,,,ENGL 4005,,,ENGL 4105,),Creative Nonfiction (,ENGL 2004,,,ENGL 4001,,,ENGL 4101,),Poetry (,ENGL 2007,,,ENGL 4007,,,ENGL 4102,),Screenwriting (,ENGL 2009,,,ENGL 4009,,,ENGL 4109,),1,- If a two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Choose six hours from the following:,ENGL 2024,/,ENGL 2824,,,ENGL 2025,,,ENGL 2027,,,ENGL 2029,,,ENGL 2123,/,ENGL 2823,,,ENGL 2148,,,ENGL 2201,,,ENGL 2202,,,ENGL 2220,,,ENGL 2231,,,ENGL 2270,,,ENGL 2300,,,ENGL 2593,,,ENGL 2673,,,ENGL 2674,. These six hours will also fulfill the Humanities General Education Requirement.,3,- Choose six hours from the following:,ENGL 2004,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,, or,ENGL 2009,.,4,- Choose three hours from the following:,ENGL 3020,,,ENGL 3022,,,ENGL 3060,,,ENGL 3070,,,ENGL 3072,, or,ENGL 3080,.,5,- Choose three hours from the following pre-1800 category:,ENGL 3035,,,ENGL 4035,,,ENGL 4030,,,ENGL 4040,,,ENGL 4050,,,ENGL 4137,,,ENGL 4147,,,ENGL 4148,,,ENGL 4712,6,- Choose six hours from the following:,ENGL 4000,,,ENGL 4001,,,ENGL 4005,,,ENGL 4006,,,ENGL 4007,,,ENGL 4008,, or,ENGL 4009,.,7,- Choose three hours from the following Capstone Seminars:,ENGL 4101,(prerequisite is,ENGL 4001,);,ENGL 4102,(prerequisite is,ENGL 4007,);,ENGL 4105,(prerequisite is,ENGL 4005,);,ENGL 4109,(prerequisite is,ENGL 4009,).,8,- Choose three hours from the following Diverse Perspectives Category:,ENGL 3550,,,ENGL 3593,,,ENGL 3673,,,ENGL 3674,,,ENGL 4220,,,ENGL 4322,,,ENGL 4323,,,ENGL 4550,,,ENGL 4593,,,ENGL 4674,,,ENGL 4680,.,9,- Choose six hours of English electives at the 3000 or 4000 level."
99,ENLT,"English, B.A.",Literature,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Choose six hours from the following:,ENGL 2024,/,ENGL 2824,,,ENGL 2025,,,ENGL 2027,,,ENGL 2029,,,ENGL 2123,/,ENGL 2823,,,ENGL 2148,,,ENGL 2201,,,ENGL 2202,,,ENGL 2220,,,ENGL 2231,,,ENGL 2270,,,ENGL 2300,,,ENGL 2593,,,ENGL 2673,,,ENGL 2674,.,3,- Choose three hours from the following Writing and Research category:,ENGL 3024,,,ENGL 3084,,,ENGL 3301,,,ENGL 3304,,,ENGL 3310,,,ENGL 3384,.,4,- Choose three hours from the following survey category:,ENGL 3020,,,ENGL 3022,,,ENGL 3060,,,ENGL 3070,,,ENGL 3072,,,ENGL 3080,;,and,choose three hours from the following diverse perspectives category:,ENGL 3550,,,ENGL 3593,,,ENGL 3673,,,ENGL 3674,,,ENGL 4220,,,ENGL 4322,,,ENGL 4323,,,ENGL 4550,,,ENGL 4593,,,ENGL 4674,,,ENGL 4680,;,and,choose three hours from the following pre-1800 category:,ENGL 3035,,,ENGL 4035,,,ENGL 4030,,,ENGL 4040,,,ENGL 4050,,,ENGL 4137,,,ENGL 4147,,,ENGL 4148,,,ENGL 4712,.,5,- Choose six hours from the 4000-level literature courses:,ENGL 4023,,,ENGL 4027,,,ENGL 4028,,,ENGL 4030,,,ENGL 4035,,,ENGL 4040,,,ENGL 4050,,,ENGL 4055,,,ENGL 4060,,,ENGL 4062,,,ENGL 4070,,,ENGL 4071,,,ENGL 4080,,,ENGL 4086,,,ENGL 4104,,,ENGL 4120,,,ENGL 4121,,,ENGL 4122,,,ENGL 4133,,,ENGL 4137,,,ENGL 4147,,,ENGL 4148,,,ENGL 4173,,,ENGL 4220,,,ENGL 4222,,,ENGL 4231,,,ENGL 4234,,,ENGL 4236,,,ENGL 4322,,,ENGL 4323,,,ENGL 4550,,,ENGL 4593,,,ENGL 4674,,,ENGL 4680,.,6,- Twelve hours of Upper-Division English electives at the 3000 or 4000 level, three of which must be at the 4000-level."
100,RWC,"English, B.A.","Rhetoric, Writing, and Culture","1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Choose six hours from the following, with at least 3 hours from the starred courses:,ENGL 2024,*/,ENGL 2824,(Honors Equivalent)*,,ENGL 2025,,,ENGL 2027,,,ENGL 2029,,,ENGL 2123,/,ENGL 2823,(Honors Equivalent),,ENGL 2148,,,ENGL 2201,,,ENGL 2202,,,ENGL 2220,,,ENGL 2231,*,,ENGL 2270,,,ENGL 2300,*,,ENGL 2593,,,ENGL 2673,,,ENGL 2674,.,3,- Choose three hours from the following:,ENGL 2012,,,ENGL 2024,/,ENGL 2824,,,ENGL 2423,,,ENGL 2710,,,ENGL 2716,.,4,- Choose six hours from the following:,ENGL 3024,,,ENGL 3084,,,ENGL 3133,,,ENGL 3300,,,ENGL 3301,,,ENGL 3304,,,ENGL 3310,,,ENGL 3384,,,ENGL 3401,,,ENGL 3716,,,ENGL 3720,.,5,- Choose six hours from the following:,ENGL 4133,,,ENGL 4231,,,ENGL 4300,,,ENGL 4301,,,ENGL 4302,,,ENGL 4310,,,ENGL 4475,,,ENGL 4493,,,ENGL 4710,,,ENGL 4711,/,ENGL 4712,,,ENGL 4713,/,ENGL 4715,,,ENGL 4714,.,6,- Choose three hours from the following:,ENGL 3550,,,ENGL 3593,,,ENGL 3673,,,ENGL 3674,,,ENGL 4220,,,ENGL 4322,,,ENGL 4323,,,ENGL 4550,,,ENGL 4593,,,ENGL 4674,,,ENGL 4680,.,7,- Twelve hours of English courses at the 3000 or 4000 level, 3 of which must be at the 4000 level."
101,ENGLSE,"English, B.A.",Secondary Education - English,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Choose six hours from the following:,ENGL 2024,/,ENGL 2824,,,ENGL 2025,,,ENGL 2027,,,ENGL 2029,,,ENGL 2123,/,ENGL 2823,,,ENGL 2148,ENGL 2300,,,ENGL 2593,,,ENGL 2673,, or,ENGL 2674,.,3,- Choose nine hours from the following:,ENGL 3020,,,ENGL 3022,,,ENGL 3070,,,ENGL 3072,, or,ENGL 3080,.,4,- Choose three hours from the following:,ENGL 3024,,,ENGL 3084,, or,ENGL 3384,."
102,,"Economics, B.A.",Area of Concentration,"1,- If postgraduate study in economics is anticipated, it is strongly recommended that the student should pursue a minor in mathematics.,2,- For General Education Natural Sciences, both physical and life sciences must be taken: six hours in a physical/life sciences sequence and two hours lab credit associated with the sequence chosen; three hours in an area (physical/life) not previously selected.,3,- Select nine hours of Social Sciences electives in two fields from the following: AAAS****, ANTH****, COMD****, GEOG****, INTL****, POLI****, PSYC**** and SOCL****.,Not from:,COMD 2050,,,GEOG 2050,, or,GEOG 2051,."
103,HCFS,"Human Development & Family Science, B.S.",Child & Family Studies,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa."
104,HCL,"Human Development & Family Science, B.S.",Child Life,"1,- For General Education Natural Sciences, both physical and life sciences must be taken; 6 hours in a physical/life sciences sequence; 3 hours in an area (physical/life) not previously selected."
105,SPCOM,"Sport Administration, B.S.",Sport Commerce,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Select 12 hours from the following:,CMST 2061,,,CMST 2064,;,BLAW 3201,,,BLAW 3230,;,ELRC 4507,;,ISDS 3105,;,KIN 2526,,,KIN 2603,,,KIN 2999,,,KIN 3507,,,KIN 3805,,,KIN 4515,,,KIN 4800,;,MC 2000,,,MC 2002,;,MGT 3320,;,AAAS 2511,/,SOCL 2511,;,SW 4500,.,3,- Grade of “C” or better required for graduation."
106,SPLEAD,"Sport Administration, B.S.",Sport Leadership,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Select 12 hours from the following:,AEEE 4039,,,AEEE 4504,;,LHRD 4573,,,LHRD 4723,;,ENVS 1126,;,HIST 2061,,,HIST 4078,,,HIST 4079,;,KIN 2526,,,KIN 2603,,,KIN 2999,,,KIN 3507,,,KIN 4515,,,KIN 4800,;,MC 2000,,,MC 2002,;,ISDS 3105,;,CMST 2064,;,ELRC 4507,.,3,- Grade of “C” or better required for graduation."
107,ESHP,"Kinesiology, B.S.",Exercise Science and Human Performance,"1,-  Select 15 hours from:,BIOL 2083,,,CHEM 1201,,,EXST 2201,,,KIN 2509,,,KIN 2526,,,KIN 2530,,,NFS 1110,,,KIN 3519,,,KIN 3605,,,KIN 3608,,,KIN 3609,,,KIN 3660,,,KIN 4501,,,KIN 4509,,,KIN 4513,,,KIN 4519,,,KIN 4525,,,KIN 4530,,,KIN 4571,,,KIN 4601,,,KIN 4605,,,KIN 4900,,,PSYC 3050,,,PSYC 4072,.,2,- Grade of “C” or better required for graduation."
108,HPEERT,"Kinesiology, B.S.",Health and Physical Education Teacher Certification,"* 2.5 Cumulative/LSU GPA and an official ACT/SAT composite of 22/1030 are required for enrollment in 3000+ level EDCI/KIN Methods courses.,1,- Select from:,KIN 2600,,,KIN 2603,,,KIN 2604,,,KIN 3605,,,KIN 3608,,,KIN 3660,,,KIN 4601,,,KIN 4605,."
109,HUMVT,"Kinesiology, B.S.",Human Movement Science,"1,- Select from the following five areas:,Occupational Therapy (17 hours),-,CHEM 1201,,,CSC 1100,or,ISDS 1100,,,KIN 2509,,,KIN 2601,,,KIN 3500,or,KIN 3519,;,PSYC 2070,or,PSYC 4070,,,PSYC 3082,;,Electives,(13 hours).,Physician Assistant (16 hours),-,CHEM 1201,,,CHEM 1202,,,CHEM 1212,,,KIN 2509,,,KIN 3500,or,KIN 3519,;,BIOL 2051,;,Electives,(14 hours).,Pre-Physical Therapy Graduate Study (23-24 hours),-,CSC 1100,or,ISDS 1100,;,CHEM 1201,,,CHEM 1202,,,CHEM 1212,;,PSYC 2070,,,PSYC 3082,;,BIOL 2051,or,BIOL 3090,or,BIOL 4104,;,ENGL 2001,or,ENGL 2002,or,ENGL 3003,;,Electives,(7-6 hours).,Premedicine (16 hours),-,CHEM 1201,,,CHEM 1202,,,CHEM 1212,,,CHEM 2261,,,CHEM 2262,,,CHEM 2364,;,Electives,(14 hours).,Prekinesiology Graduate Study (15 hours),- fifteen hours of approved electives (list available from the school);,Electives,(15 hours).,2,- Human Movement Concentration PA & PT options must choose,PSYC 2000,for three of six hours of General Education Social Sciences.,Human Movement Concentration OT option must choose,PSYC 2000,and,SOCL 2001,as General Education Social Sciences."
110,PHYAH,"Kinesiology, B.S.",Physical Activity and Health,"1 - Select 15 hours from a list of approved KIN courses available from the Office of Student Services, College of Human Science and Education.,2 - Select from:,KIN 1600,,,KIN 2577,,,KIN 2600,,,KIN 2603,,,KIN 2604,,,KIN 3605,,,KIN 3608,,,KIN 3660,,,KIN 4601,,,KIN 4605,.,3 - Select from a list of approved KIN activity courses available from the Office of Student Services, College of Human Science and Education."
111,PREAT,"Kinesiology, B.S.",Pre-Athletic Training,"1,- Grade of C or better required for graduation.,2,- Select 12 hrs. of concentration electives:,KIN 2603,,,KIN 3525,,,KIN 3608,,,KIN 4509,,,KIN 4571,,,KIN 4601,,,KIN 4605,,,KIN 4606"
112,1-5CRT,"Elementary Grades Education, B.S.","Four Year Teacher Certification, Grades 1-5","1,-,ART 1001,or,ARTH 1440,/,ARTH 2470,or,MUS 1751,/,MUS 1799,.,2,- Option:,MATH 1021,/,MATH 1023,.,3,- 2.5 LSU/Cumulative GPA is required for enrollment in 3000+ level EDCI courses."
113,1-5HCT,"Elementary Grades Education, B.S.","Holmes Certification, Grades 1-5","1,-,ART 1001,or,ARTH 1440,/,ARTH 2470,or,MUS 1751,/,MUS 1799,.,2,- Option:,MATH 1021,/,MATH 1023,.,3,- 2.5 LSU/Cumulative GPA is required for enrollment in 3000+ level EDCI courses."
114,CCUS,"Petroleum Engineering, B.S.P.E.","Carbon Capture, Utilization and Storage","1,-,PETE 4998,and,PETE 4999,projects must be CCUS projects to earn the concentration. Courses will have separate section numbers and departmental approval will be provided for the concentration.,2,-,PETE 4056,simulation project must be a CCUS project to earn the concentration. Course will have a separate section and departmental approval will be provided for the concentration."
115,CSCCCN,"Computer Science, B.S.",Cloud Computing and Networking,"Computer science students are cautioned to verify course descriptions in the catalog noting where duplication of course credits may be prohibited. Additionally, computer science students will not receive degree credit for the following courses:,CSC 1240,;,ELRC 4006,;,EXST 2201,;,ISDS 2000,,,ISDS 2001,,,ISDS 2010,,,ISDS 2011,,,ISDS 3070,,,ISDS 3075,;,PSYC 4111,; and,SOCL 2201,.,1,- For General Education Natural Science,,(3 cr. hrs.) [Life Science],BIOL 1001,or,BIOL 1201,(3 cr. hrs.) [Physical Science] Select from,PHYS 1201,,,PHYS 2001,,,CHEM 1001,,,CHEM 1201,,,CHEM 1421,,,ASTR 1101,,,GEOL 1001,, or,GEOL 1003,.,(3 cr. hrs.) A second course science must be selected to complete the sequence in either the BIOL science or physical science.,(2 cr. hrs.) Science lab credits must be wholly associated with the science sequence selected.,2,– APPROVED CCN AREA ELECTIVES (3 hours required):,CSC 3304,,,CSC 4362,,,CSC 4444,,,CSC 4512,,,CSC 4585,,,CSC 4762,;,EE 4625,,,EE 4660,;,IE 4426,;,ISDS 4120,,,ISDS 4123,;,MATH 4023,,,MATH 4025,,,MATH 4171,,,MATH 4172,,,MATH 4325,; other electives subject to approval.,3,– The selection of the CSC 2000-level or above elective (3 cr. hrs.)  is not restrictive to topics related to Cloud Computing and Networking.,4,– APPROVED TECHNICAL ELECTIVES: Three hours of elective credits must be selected from Group A and three hours of elective credits selected from Group A or Group B.,GROUP A,: 2000-level and above only chosen from CSC, BE, CHE, CE, CM, EE, ENGR, EVEG, IE, ME, PETE, EMS, ENVS, OCS, MATH, ECON, FIN, ASTR, BIOL, CHEM, GEOG, GEOL, PHYS,,ISDS 3100,,,ISDS 3105,,,ISDS 3120,, ISDS 4+++.,GROUP B,:,ART 2050,,,ART 2055,,,ART 2210,,,ART 2220,,,ART 2230,,,ART 2551,,,ART 4020,,,ART 4050,,,ART 4055,,,ART 4230,,,ART 4240,,,ART 4290,,,ART 4550,,,ART 4059,,,ART 4560,,,ART 7250,ART 7255,,,ARTH 4480,,,ARTH 4482,,,ARTH 4484,,,MC 2035,,,MC 3031,,,MC 4002,,,MC 4015,,,MC 4260,,,MC 4550,,,MC 4600,,,MC 4720,,,MUS 2745,,,MC 4260,,,MC 4550,,,MC 4600,,,MC 4720,,,MUS 4744,,,MUS 4745,,,MUS 4746,,,MUS 4748,,,ENGL 2009,,,ENGL 2231,,,ENGL 4000,,,ENGL 4009,,,ENGL 7109,.,5,– Credit will not be applied to the degree for courses with overlapping content. For clarification, contact the division’s academic advisor. Students who have completed the prerequisites may substitute:,EE 3740,for,CSC 2259,but not both,EE 3755,for,CSC 3501,but not both,MATH 3355,or,EE 3150,or,EXST 4050,for,IE 3302,."
116,CSCSD,"Computer Science, B.S.",Computer Science & Second Discipline,"Computer science students are cautioned to verify course descriptions in the catalog noting where duplication of course credits may be prohibited. Additionally, computer science students will not receive degree credit for the following courses:,CSC 1240,;,ELRC 4006,;,EXST 2201,;,ISDS 2000,,,ISDS 2001,,,ISDS 2010,,,ISDS 2011,,,ISDS 3070,,,ISDS 3075,;,PSYC 4111,; and,SOCL 2201,.,1,- For General Education Natural Science,,(3 cr. hrs.) [Life Science],BIOL 1001,or,BIOL 1201,(3 cr. hrs.) [Physical Science] Select from,PHYS 1201,,,PHYS 2001,,,CHEM 1001,,,CHEM 1201,,,CHEM 1421,,,ASTR 1101,,,GEOL 1001,, or,GEOL 1003,.,(3 cr. hrs.) A second course science must be selected to complete the sequence in either the BIOL science or physical science.,(2 cr. hrs.) Science lab credits must be wholly associated with the science sequence selected.,2,- APPROVED SD AREA ELECTIVES: See Computer Science advisor. An approved second discipline concentration consists of 15 semester hours of electives in one area outside of the Department of Computer Science or from a multidisciplined minor that may include Computer Science coursework. All courses must be taken from a single department except when a university minor is obtained. Courses in the second area are to form a coherent sequence; where possible students should take courses required of a major in that department. Ordinarily, there should be at least two courses numbered 3000 or above. Courses chosen from Information Systems and Decision Sciences must be numbered,ISDS 3100,or above. The approval form must be submitted no later than the sophomore year with the consent of the departmental advisor and the dean’s office.,3,- APPROVED TECHNICAL ELECTIVES: Three hours of elective credits must be selected from Group A and three hours of elective credits selected from Group A or Group B.,GROUP A,: 2000-level and above only chosen from CSC, BE, CHE, CE, CM, EE, ENGR, EVEG, IE, ME, PETE, EMS, ENVS, OCS, MATH, ECON, FIN, ASTR, BIOL, CHEM, GEOG, GEOL, PHYS,,ISDS 3100,,,ISDS 3105,,,ISDS 3120,, ISDS 4+++.,GROUP B,:,ART 2050,,,ART 2055,,,ART 2210,,,ART 2220,,,ART 2230,,,ART 2551,,,ART 4020,,,ART 4050,,,ART 4055,,,ART 4230,,,ART 4240,,,ART 4290,,,ART 4550,,,ART 4059,,,ART 4560,,,ART 7250,,,ART 7255,,,ARTH 4480,,,ARTH 4482,,,ARTH 4484,,,MC 2035,,,MC 3031,,,MC 4002,,,MC 4015,,,MC 4260,,,MC 4550,,,MC 4600,,,MC 4720,,,MUS 2745,,,MUS 4744,,,MUS 4745,,,MUS 4746,,,MUS 4748,,,ENGL 2009,,,ENGL 2231,,,ENGL 4000,,,ENGL 4009,,,ENGL 7109,.,4,- Credit will not be applied to the degree for courses with overlapping content. For clarification, contact the division’s academic advisor. Students who have completed the prerequisites may substitute:,EE 3740,for,CSC 2259,but not both,EE 3755,for,CSC 3501,but not both,MATH 3355,or,EE 3150,or,EXST 4050,for,IE 3302,."
117,CSCCYB,"Computer Science, B.S.",Cybersecurity,"Computer science students are cautioned to verify course descriptions in the catalog noting where duplication of course credits may be prohibited. Additionally, computer science students will not receive degree credit for the following courses:,CSC 1240,;,ELRC 4006,;,EXST 2201,;,ISDS 2000,,,ISDS 2001,,,ISDS 2010,,,ISDS 2011,,,ISDS 3070,,,ISDS 3075,;,PSYC 4111,; and,SOCL 2201,.,1,- For General Education Natural Science,,BIOL 1001,or,BIOL 1201,(3 cr. hrs.) [Life Science],(3 cr. hrs.) [Physical Science] Select from,PHYS 1201,or,PHYS 2001,, or,CHEM 1001,or,CHEM 1201,or,CHEM 1421,or,ASTR 1101,or,GEOL 1001,or,GEOL 1003,(3 cr. hrs.) A second course science must be selected to complete the sequence in either the BIOL science or physical science.,(2 cr. hrs.) Science lab credits must be wholly associated with the science sequence selected.,2,– APPROVED CYB AREA ELECTIVES (3 hours required):,CSC 3730,,,CSC 4243,,,CSC 4444,,,CSC 4610,,,CSC 4762,,,IE 4462,,,IE 4466,; other electives subject to approval.,3,– APPROVED TECHNICAL ELECTIVES: Three hours of elective credits must be selected from Group A and three hours of elective credits selected from Group A or Group B.,GROUP A,: 2000-level and above only chosen from CSC, BE, CHE, CE, CM, EE, ENGR, EVEG, IE, ME, PETE, EMS, ENVS, OCS, MATH, ECON, FIN, ASTR, BIOL, CHEM, GEOG, GEOL, PHYS,,ISDS 3100,,,ISDS 3105,,,ISDS 3120,, ISDS 4+++.,GROUP B,:,ART 2050,,,ART 2055,,,ART 2210,,,ART 2220,,,ART 2230,,,ART 2551,,,ART 4020,,,ART 4050,,,ART 4055,,,ART 4059,,,ART 4230,,,ART 4240,,,ART 4290,,,ART 4550,,,ART 4560,,,ART 7250,,,ART 7255,,,ARTH 4480,,,ARTH 4482,,,ARTH 4484,,,MC 2035,,,MC 3031,,,MC 4002,,,MC 4015,,,MC 4260,,,MC 4550,,,MC 4600,,,MC 4720,,,MUS 2745,,,MUS 4744,,,MUS 4745,,,MUS 4746,,,MUS 4748,,,ENGL 2009,,,ENGL 2231,,,ENGL 4000,,,ENGL 4009,,,ENGL 7109,.,4,– Credit will not be applied to the degree for courses with overlapping content. For clarification, contact the division’s academic advisor. Students who have completed the prerequisites may substitute:,EE 3740,for,CSC 2259,but not both,EE 3755,for,CSC 3501,but not both,MATH 3355,or,EE 3150,or,EXST 4050,for,IE 3302,."
