ID,Program,degree,type,concentration,credit,hours,restrictions
194,CHEMPH,"Chemistry, B.S.",Major,Chemical Physics,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""Arts"", ""Approved Free Elective (3)""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", """", ""CHEM 2261"", ""CHEM 2461"", """", ""Social""], ""Semester 4"": [""ENGL 2000"", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""CHEM 3491"", ""CHEM 3570"", ""CHEM 4564"", ""PHYS 2112"", ""BIOL 2083""], ""Semester 6"": [""MATH 2065"", ""MATH 2085"", ""MATH 2090""], ""Semester 7"": [""CHEM 4552"", ""Chemical Physics Elective (3)[3]"", ""Social"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Elective (3)""], ""Semester 8"": [""CHEM 4553"", ""Humanities"", ""Approved Free Elective (5)"", ""Chemical Physics Elective (3)[3]""]}",120,
195,CHEMSD,"Chemistry, B.S.",Major,Chemistry & Second Discipline,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""Approved Free Elective (3)"", ""Arts""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", """", ""CHEM 2261"", ""CHEM 2461"", """", ""Social""], ""Semester 4"": [""ENGL 2000"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463"", """", ""MATH 2057""], ""Semester 5"": [""CHEM 3491"", ""CHEM 3570"", ""CHEM 4564"", ""BIOL 2083"", ""Second Discipline Elective (3)[2]""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""Humanities"", ""Second Discipline Elective (3)[2]""], ""Semester 7"": [""CHEM 4570"", ""CHEM 4571"", """", ""First Course in Foreign Language Sequence (4)"", ""Second Discipline Elective (6)[2]""], ""Semester 8"": [""CHEM 4553"", ""Social"", ""Humanities"", ""Second Discipline Elective (8)[2]""]}",120,
196,ENVCHM,"Chemistry, B.S.",Major,Environmental Chemistry,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""Approved Free Elective (3)"", ""Arts""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", """", ""CHEM 2261"", ""CHEM 2461"", """", ""Social""], ""Semester 4"": [""ENGL 2000"", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""BIOL 2083"", ""CHEM 3491"", ""CHEM 3570"", ""CHEM 4564"", ""Social""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""Humanities"", ""Approved Free Elective (3)""], ""Semester 7"": [""CHEM 4150"", ""CHEM 4552"", ""Environmental Elective (3)[2]"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Elective (3)""], ""Semester 8"": [""CHEM 4553"", ""Environmental Elective (3)[2]"", ""Approved Free Electives (8)"", ""Humanities""]}",120,
197,CHMFOR,"Chemistry, B.S.",Major,Forensic Chemistry,"{""Semester 1"": [""MATH 1550"", ""BIOL 1201"", ""ENGL 1001"", ""Approved Free Elective (1)""], ""Semester 2"": [""CHEM 1212"", ""CHEM 1431"", """", ""MATH 1552"", ""Arts"", ""Approved Free Elective (3)""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", ""Social""], ""Semester 4"": [""CHEM 2364"", ""CHEM 2463"", """", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", ""ENGL 2000""], ""Semester 5"": [""CHEM 3491"", ""CHEM 3570"", ""CHEM 4564"", ""BIOL 2083"", ""Social""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""Humanities"", ""Approved Free Elective (3)""], ""Semester 7"": [""CHEM 4552"", ""Chemistry Elective (3)[3]"", ""Forensic Elective (3)[4]"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Electives (3)""], ""Semester 8"": [""CHEM 4553"", ""Forensic Elective (3)"", ""Humanities"", ""Approved Free Elective (8)""]}",120,
198,CHMPLY,"Chemistry, B.S.",Major,Polymers,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""Arts"", ""Approved Free Elective (3)""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", """", ""CHEM 2261"", ""CHEM 2461"", """", ""Social""], ""Semester 4"": [""ENGL 2000"", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""BIOL 2083"", ""CHEM 3570"", ""CHEM 4564"", ""CHEM 3491"", ""Social""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""Humanities"", ""Approved Free Elective (3)""], ""Semester 7"": [""CHEM 4552"", ""CHEM 4010"", ""Chemistry Elective (3)[3]"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Elective (3)""], ""Semester 8"": [""CHEM 4553"", ""CHEM 4011"", ""Humanities"", ""Approved Free Elective (8)""]}",120,
199,CHMPHA,"Chemistry, B.S.",Major,Pre-Health,"{""Semester 1"": [""BIOL 1201"", ""BIOL 1208"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", ""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""PSYC 2000""], ""Semester 3"": [""CHEM 2261"", ""CHEM 2461"", """", ""PHYS 2110"", ""PHYS 2108"", ""BIOL 2051"", ""SOCL 2001""], ""Semester 4"": [""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463"", """", ""MATH 2057"", ""BIOL 2153""], ""Semester 5"": [""CHEM 3491"", ""CHEM 2001"", ""CHEM 2002"", ""ENGL 2000"", ""BIOL 4087""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""Arts"", ""Humanities"", ""Approved Free Elective (3)[1]""], ""Semester 7"": [""CHEM 4552"", ""CHEM 3570"", ""First course in foreign language sequence (4)"", ""Approved Free Elective (6)[1]""], ""Semester 8"": [""CHEM 4553"", ""Humanities"", ""Approved Free Electives (8)""]}",120,
200,CHEMSE,"Chemistry, B.S.",Major,Secondary Education - Chemistry,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""SCI 2010"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""MATH 1552"", ""SCI 2011"", ""Arts"", ""Approved Free Elective (3)""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", ""EDCI 2500"", """", ""CHEM 2261"", ""CHEM 2461""], ""Semester 4"": [""PHYS 2113"", ""PHYS 2109"", ""MATH 2057"", ""EDCI 3550"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""BIOL 2083"", ""CHEM 3491"", ""CHEM 4005"", ""ENGL 2000"", ""Social""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""First Course in Foreign Language Sequence (4)"", ""Humanities"", ""Approved Free Elective (3)""], ""Semester 7"": [""CHEM 3570"", ""CHEM 4003"", ""EDCI 4500"", ""Humanities"", ""Approved Elective (6)""], ""Semester 8"": [""EDCI 3136"", ""EDCI 4006""]}",120,
201,Biological,Biological Sciences Minor,Minor,,"An undergraduate  minor in biological sciences  is available to students majoring in curricula outside the Department of Biological Sciences. Required courses are  BIOL 1201   ,  BIOL 1202   ,  BIOL 1208   ,  BIOL 1209   ,  BIOL 2051   ,  BIOL 2153   ,  BIOL 3040   ,  BIOL 4087   , and at least three more hours of biological sciences in a course at the 3000 level (excluding  BIOL 3999   ,  BIOL 4003   ,  BIOL 4005   ) or above (total of 26 hours).",120,
202,Theatre,Theatre Minor,Minor,,"In order to graduate with a  minor in theatre , students must complete at least 19 hours of theatre courses as follows:",120,
203,Physical,Physical Theatre Minor,Minor,,"In order to graduate with a  minor in physical theatre , students must complete at least 18 hours of theatre classes as follows:",120,
204,Dance,Dance Minor,Minor,,"To graduate with a  minor in dance , students must complete at least 18 hours of dance courses as follows:",120,
205,Arts,Arts Administration Minor,Minor,,"In order to graduate with a minor in  arts administration , students must complete:  THTR 3320   ,  THTR 3340   ,  THTR 4320   ,  THTR 4350    and  THTR 4300    (taken twice).",120,
206,AADMIN,"Theatre, B.A.",Major,Arts Administration,"{""Semester 1"": [""THTR 1001"", ""THTR 1025"", ""THTR 2026"", ""THTR 2130"", ""MATH 1021"", ""THTR 1010"", ""Humanities""], ""Semester 2"": [""THTR 2022"", ""THTR 2026"", ""THTR 2021"", ""ENGL 1001"", ""Analytical"", ""Humanities""], ""Semester 3"": [""ACCT 2000"", ""THTR 3320"", ""THTR Technology Elective (3)[2]"", ""Natural"", ""Social""], ""Semester 4"": [""THTR 2026"", ""ENGL 2000"", ""ECON 2030"", ""THTR 3340"", ""THTR Design or Technology Course (3)[3]"", ""Natural""], ""Semester 5"": [""THTR 3120"", ""THTR 4350"", ""MKT 3401"", ""THTR 4300"", ""Approved Electives (3)[4]""], ""Semester 6"": [""THTR 2010"", ""THTR 3121"", ""THTR 3122"", ""THTR 4136"", ""THTR 4300"", ""THTR 4320""], ""Semester 7"": [""THTR 4136"", ""THTR Literature Course (3)[5]"", ""Approved Electives (7)[4]"", ""Natural""], ""Semester 8"": [""THTR 4010"", ""Arts"", ""Humanities"", ""Approved Electives (6)[4]""]}",120,
207,TD&T,"Theatre, B.A.",Major,Design/Technology,"{""Semester 1"": [""THTR 1001"", ""THTR 1010"", ""THTR 1025"", ""THTR 2026"", ""ENGL 1001"", """", ""MATH 1021"", ""MATH 1029"", """", ""Humanities""], ""Semester 2"": [""THTR 2022"", ""THTR 2026"", ""THTR 2130"", ""Natural"", ""Humanities""], ""Semester 3"": [""THTR 2001"", """", ""THTR 2830"", ""THTR 3126"", """", ""THTR Technology Elective (core) (3)[2]"", ""Natural"", ""Social""], ""Semester 4"": [""THTR 3120"", ""THTR 2026"", ""ENGL 2000"", ""THTR Design or Tech Course  (Core) (3)[3]"", ""Analytical"", ""Natural""], ""Semester 5"": [""THTR 2010"", ""THTR 3121"", ""THTR 2021"", ""THTR Design/Tech Course (Concentration) (3)[3,5]"", ""THTR Tech Course (Concentration) (3)[2]"", ""Approved Electives (3)""], ""Semester 6"": [""THTR 3122"", ""THTR 4136"", ""THTR Design Course (Concentration) (3)[4]"", ""THTR Tech Course (Concentration) (3)[2]"", ""Humanities"", ""Approved Electives (3)""], ""Semester 7"": [""THTR 4136"", ""THTR Literature Course (3)[7]"", ""THTR Design Course (Concentration) (3)[4]"", ""Social"", ""Approved Electives (4)[6]""], ""Semester 8"": [""THTR 4010"", ""THTR Design/Tech Course (Concentration) (3)[3,5]"", ""Arts"", ""Approved Electives (6)[6]""]}",120,
208,PERF,"Theatre, B.A.",Major,Performance,"{""Semester 1"": [""THTR 1001"", ""THTR 1010"", ""THTR 1025"", ""THTR 2130"", """", ""MATH 1021"", ""MATH 1029"", """", ""THTR 2027""], ""Semester 2"": [""THTR 2022"", ""THTR 2026"", ""THTR 2025"", ""ENGL 1001"", ""Humanities""], ""Semester 3"": [""THTR 2026"", ""THTR 1029"", ""THTR 3025"", ""THTR Technology Elective (3)[1]"", ""Natural"", ""Social""], ""Semester 4"": [""THTR 2021"", ""THTR 2026"", ""ENGL 2000"", """", ""THTR 3027"", ""THTR 3029"", """", ""THTR Design or Technology Course (3)[2]"", ""Natural""], ""Semester 5"": [""THTR 3120"", ""THTR Performance Course (3)[5]"", ""Humanities"", ""Approved Electives (6)[3]""], ""Semester 6"": [""THTR 3026"", ""THTR 4025"", """", ""Natural""], ""Semester 7"": [""THTR 4136"", ""THTR Performance Course (3)[5]"", ""THTR Literature Course (3)[4]"", ""Analytical"", ""Approved Electives (4)[3]""], ""Semester 8"": [""THTR 4010"", ""Arts"", ""Social"", ""Approved Electives (6)[3]""]}",120,
209,PHYTH,"Theatre, B.A.",Major,Physical Theatre,"{""Semester 1"": [""THTR 1001"", ""THTR 1010"", ""THTR 1025"", ""THTR 2026"", """", ""MATH 1021"", ""MATH 1029"", """", ""Social"", ""Humanities""], ""Semester 2"": [""THTR 2022"", ""THTR 2026"", ""THTR 2130"", ""ENGL 1001"", ""THTR Elective (1)[1]"", ""Humanities""], ""Semester 3"": [""THTR 1029"", ""THTR Elective (1)[1]"", ""THTR Technology Elective (3)[6]"", ""Natural"", ""Analytical"", ""Social""], ""Semester 4"": [""ENGL 2000"", ""THTR 2026"", ""THTR 2021"", ""THTR 3029"", ""THTR Design or Tech Course (3)[7]"", ""THTR Elective (1)[1]"", ""Natural""], ""Semester 5"": [""THTR 3120"", ""THTR 3032"", ""Natural"", ""THTR Elective (1)[1]"", ""Approved Elective (3)[3]""], ""Semester 6"": [""THTR 2010"", ""THTR 3803"", ""THTR 3121"", ""THTR 3122"", ""THTR 4136"", ""THTR Elective (1)[1]"", ""PHYS THTR Elective Course (3)[2]""], ""Semester 7"": [""Humanities"", ""THTR Elective (1)[1]"", ""PHYS THTR Elective Course (3)[2]"", ""THTR Literature Course (3)[4]"", ""Approved Elective (4)[3]""], ""Semester 8"": [""THTR 4010"", ""THTR 4136"", ""Arts"", ""PHYS THTR Elective Course (3)[2]"", ""Approved Electives (6)[3]""]}",120,
210,THTRST,"Theatre, B.A.",Major,Theatre Studies,"{""Semester 1"": [""THTR 1001"", ""THTR 1010"", ""THTR 1025"", ""THTR 2026"", """", ""MATH 1021"", ""MATH 1029"", """", ""ENGL 1001"", ""Humanities""], ""Semester 2"": [""THTR 2022"", ""THTR 2026"", ""THTR 2130"", ""Social"", ""Humanities""], ""Semester 3"": [""THTR Selection (3)[3]"", ""THTR Technology Elective (3)[2]"", ""Natural"", ""Analytical"", ""Humanities""], ""Semester 4"": [""THTR 2021"", ""THTR 2026"", ""ENGL 2000"", ""THTR Selection (3)[3]"", ""THTR Design or Tech Course (3)[4]"", ""Natural""], ""Semester 5"": [""THTR 2010"", ""THTR 3120"", ""Approved Electives (3)[7]"", ""Approved THTR courses (9)[5]""], ""Semester 6"": [""THTR 3121"", ""THTR 3122"", ""THTR 4136"", ""Approved THTR courses (6)[5]"", ""Natural""], ""Semester 7"": [""THTR 4136"", ""THTR Literature Course (3)[6]"", ""Approved THTR Course (3)[5]"", ""Approved Electives (6)[7]""], ""Semester 8"": [""THTR 4010"", ""Arts"", ""Social"", ""Approved Electives (7)[7]""]}",120,
211,Music,Music Minor,Minor,,"To graduate with a  minor in music , students must complete:",120,
212,,"Music, B.M.",Major,Brass/Woodwind/Percussion,"{""Semester 1"": [""MUS 1500"", ""MUS 1705"", ""MUS 1130"", """", ""MUS 2620"", ""MUS 2630"", """", ""MATH 1021"", ""MATH 1029"", """", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""MUS 2621""], ""Semester 2"": [""ENGL 1001"", ""MUS 1131"", """", ""MUS 2622"", ""MUS 2632"", """", ""MUS 2623"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""MUS 2700""], ""Semester 3"": [""MUS 3500"", ""MUS 1132"", """", ""MUS 3620"", ""MUS 3630"", """", ""MUS 3621"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Analytical"", ""Natural""], ""Semester 4"": [""MUS 1133"", ""ENGL 2000"", """", ""MUS 3622"", ""MUS 3632"", """", ""MUS 3623"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Natural""], ""Semester 5"": [""MUS 2053"", ""MUS 3771"", """", ""MUS 4222"", ""MUS 4223"", ""MUS 4226"", ""MUS 4227"", """", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Humanities"", ""Arts""], ""Semester 6"": [""MUS 4222"", ""MUS 4223"", ""MUS 4226"", ""MUS 4227"", """", ""Natural"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Humanities"", ""Social""], ""Semester 7"": [""MUS 4222"", ""MUS 4223"", ""MUS 4226"", ""MUS 4227"", """", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Humanities"", """", ""Choose"", ""MUS 4710"", ""MUS 4712"", ""MUS 4718"", ""MUS 4720"", ""MUS 4725""], ""Semester 8"": [""MUS 4222"", ""MUS 4223"", ""MUS 4226"", ""MUS 4227"", """", ""Primary Applied Music Course (2)"", ""Major Ensemble Course (1)[1]"", ""Social"", ""Free Elective (1)"", ""MUS 4749""]}",120,
213,COMP,"Music, B.M.",Major,Composition,"{""Semester 1"": [""MUS 1500"", ""MUS 1705"", """", ""MUS 2620"", ""MUS 2630"", """", ""MUS 2621"", """", ""MATH 1021"", ""MATH 1029"", """", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]""], ""Semester 2"": [""ENGL 1001"", ""MUS 2700"", """", ""MUS 2622"", ""MUS 2632"", """", ""MUS 2623"", ""Primary Applied Music Course (3)"", ""Secondary Applied Music Course (2)[3]"", ""Major Ensemble Course (1)[1]""], ""Semester 3"": [""MUS 3500"", """", ""MUS 3620"", ""MUS 3630"", """", ""MUS 3621"", """", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Analytical"", ""Natural""], ""Semester 4"": [""ENGL 2000"", """", ""MUS 3622"", ""MUS 3632"", """", ""MUS 3623"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Natural"", ""MUS 1133""], ""Semester 5"": [""MUS 2053"", ""MUS 3771"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Humanities"", ""Social""], ""Semester 6"": [""MUS 4725"", ""MUS 2054"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Natural"", ""Humanities""], ""Semester 7"": [""MUS 4745"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[1]"", ""Social"", ""Humanities"", ""Arts""], ""Semester 8"": [""Choose one course from the following:"", ""MUS 4710"", ""MUS 4712"", ""MUS 4718"", ""MUS 4720""]}",120,
214,PIAPD,"Music, B.M.",Major,Piano Pedagogy,"{""Semester 1"": [""MUS 1500"", ""MUS 1705"", ""ENGL 1001"", """", ""MUS 2620"", ""MUS 2630"", """", ""MATH 1021"", ""MATH 1029"", """", ""MUS 2621"", ""Primary Applied Music Course (3)""], ""Semester 2"": [""MUS 2622"", ""MUS 2632"", """", ""MUS 2623"", ""Primary Applied Music Course (3)"", ""Analytical"", ""MUS 2700"", ""Humanities""], ""Semester 3"": [""MUS 3500"", """", ""MUS 3620"", ""MUS 3630"", """", ""MUS 3621"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[2]"", ""Humanities"", ""Natural""], ""Semester 4"": [""ENGL 2000"", """", ""MUS 3622"", ""MUS 3632"", """", ""MUS 3623"", ""Primary Applied Music Course (3)"", ""Natural""], ""Semester 5"": [""MUS 2053"", ""MUS 4757"", ""MUS 3997"", ""Primary Applied Music Course (3)"", ""Humanities""], ""Semester 6"": [""MUS 2054"", ""MUS 4758"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[2]"", ""Natural"", ""Social""], ""Semester 7"": [""MUS 4763"", ""MUS 4769"", ""Primary Applied Music Course (3)"", ""Major Ensemble Course (1)[2]"", ""Social"", ""MUS 3997""], ""Semester 8"": [""MUS 4797"", ""MUS 4501""]}",120,
